ride_id,user_id,driver_id,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,request_time,pickup_time,dropoff_time,distance_km,duration_min,fare_rwf,status,driver_rating,driver_idle_time,surge_multiplier
R93810,U0029,D0004,-1.959429,30.061784,-1.922173,30.081275,14/02/2024 07:01,14/02/2024 07:06,14/02/2024 07:20,4.67,14,2852,completed,3.5,6,1.5
R81426,U0108,D0029,-1.931549,30.125909,-1.963859,30.112555,04/08/2024 08:13,04/08/2024 08:20,04/08/2024 08:31,3.89,11,1667,completed,3.6,27,1
R44671,U0012,D0059,-1.97243,30.113057,-1.934167,30.12027,12/11/2024 17:36,12/11/2024 17:39,12/11/2024 17:51,4.33,12,1799,cancelled,4.7,2,1
R23238,U0098,D0036,-1.933398,30.117684,-1.912277,30.093229,15/12/2024 11:34,15/12/2024 11:39,15/12/2024 11:49,3.59,10,1577,completed,3.9,29,1
R83000,U0057,D0042,-1.939851,30.099881,-1.926581,30.068059,17/10/2024 16:13,17/10/2024 16:22,17/10/2024 16:35,3.83,13,2474,completed,4.2,8,1.5
R83579,U0138,D0034,-1.961635,30.11639,-1.967491,30.070961,17/09/2024 07:55,17/09/2024 07:59,17/09/2024 08:17,5.09,18,3649,completed,4.1,2,1.8
R88104,U0120,D0068,-1.949228,30.050184,-1.976468,30.117907,01/10/2024 16:07,01/10/2024 16:15,01/10/2024 16:40,8.11,25,2933,completed,4.9,28,1
R75612,U0196,D0023,-1.906072,30.094775,-1.932777,30.116744,19/03/2024 08:34,19/03/2024 08:44,19/03/2024 09:00,3.84,16,2478,completed,4,0,1.5
R57576,U0079,D0031,-1.938952,30.102151,-1.93163,30.074776,05/02/2024 10:08,05/02/2024 10:17,05/02/2024 10:31,3.15,14,1445,completed,3.9,27,1
R37760,U0139,D0026,-1.942078,30.062398,-1.95899,30.052281,02/03/2024 07:21,02/03/2024 07:31,02/03/2024 07:37,2.19,6,1157,completed,3.5,22,1
R40007,U0018,D0005,-1.964774,30.131456,-1.975233,30.045628,19/10/2024 13:50,19/10/2024 13:58,19/10/2024 14:28,9.61,30,3383,completed,4.5,11,1
R71213,U0187,D0007,-1.936558,30.112429,-1.939213,30.090979,07/04/2024 10:27,07/04/2024 10:33,07/04/2024 10:41,2.4,8,1220,cancelled,4.2,27,1
R22833,U0013,D0070,-1.931178,30.092579,-1.98,30.04477,19/04/2024 07:10,19/04/2024 07:12,19/04/2024 07:40,7.6,28,2780,completed,4.9,25,1
R65444,U0179,D0072,-1.912962,30.077483,-1.977064,30.078772,01/02/2024 07:03,01/02/2024 07:12,01/02/2024 07:36,7.13,24,3167,completed,3.7,30,1.2
R34356,U0018,D0077,-1.97654,30.052066,-1.923885,30.076263,21/01/2024 19:42,21/01/2024 19:52,21/01/2024 20:13,6.44,21,2432,completed,3.8,22,1
R44814,U0102,D0017,-1.952941,30.06403,-1.934839,30.119333,15/10/2024 08:34,15/10/2024 08:44,15/10/2024 09:04,6.47,20,2441,completed,4.8,28,1
R47353,U0041,D0057,-1.978213,30.122796,-1.947536,30.052125,10/10/2024 19:06,10/10/2024 19:10,10/10/2024 19:37,8.56,27,3068,completed,4.6,4,1
R89276,U0054,D0044,-1.919913,30.106018,-1.948469,30.050813,20/11/2024 14:02,20/11/2024 14:09,20/11/2024 14:34,6.91,25,3860,completed,5,5,1.5
R82309,U0181,D0055,-1.98,30.122121,-1.934944,30.081385,19/01/2024 10:27,19/01/2024 10:29,19/01/2024 10:50,6.75,21,2525,completed,4.8,6,1
R97416,U0027,D0046,-1.972419,30.118992,-1.956188,30.058788,24/03/2024 11:56,24/03/2024 11:58,24/03/2024 12:19,6.93,21,2579,cancelled,4.7,13,1
R42527,U0069,D0021,-1.929045,30.120737,-1.962441,30.057065,23/08/2024 20:50,23/08/2024 20:55,23/08/2024 21:20,7.99,25,4346,completed,3.8,10,1.5
R19099,U0198,D0036,-1.916605,30.097698,-1.911421,30.105028,29/02/2024 14:11,29/02/2024 14:17,29/02/2024 14:22,1,5,1200,completed,4.2,23,1.5
R67199,U0156,D0066,-1.928608,30.110041,-1.96529,30.050977,23/09/2024 12:23,23/09/2024 12:26,23/09/2024 12:54,7.73,28,2819,cancelled,4.4,21,1
R49363,U0130,D0040,-1.964562,30.05973,-1.970963,30.133727,13/07/2024 11:39,13/07/2024 11:45,13/07/2024 12:12,8.25,27,2975,completed,4,6,1
R86019,U0156,D0042,-1.928925,30.115419,-1.930429,30.106419,27/03/2024 15:32,27/03/2024 15:39,27/03/2024 15:44,1.01,5,1606,completed,3.9,9,2
R36100,U0038,D0004,-1.937257,30.09678,-1.920704,30.074287,18/11/2024 18:31,18/11/2024 18:36,18/11/2024 18:45,3.1,9,2574,cancelled,3.5,24,1.8
R23970,U0200,D0055,-1.920134,30.078135,-1.975567,30.105918,03/03/2024 20:42,03/03/2024 20:52,03/03/2024 21:16,6.89,24,5134,cancelled,4.8,19,2
R76162,U0110,D0071,-1.924102,30.119595,-1.978853,30.100956,22/11/2024 20:33,22/11/2024 20:38,22/11/2024 20:58,6.43,20,2429,completed,4.6,7,1
R51904,U0139,D0011,-1.9743,30.078103,-1.926697,30.093028,27/07/2024 17:26,27/07/2024 17:31,27/07/2024 17:52,5.55,21,2165,cancelled,4.9,18,1
R12560,U0196,D0074,-1.965906,30.049628,-1.903944,30.087655,02/08/2024 13:31,02/08/2024 13:37,02/08/2024 14:03,8.08,26,2924,completed,4.1,21,1
R62994,U0186,D0022,-1.920308,30.120546,-1.963489,30.07647,05/12/2024 19:27,05/12/2024 19:36,05/12/2024 19:57,6.86,21,2558,completed,4.1,6,1
